name,address,type
Patchouli_handle_event_bridge,0x0052FDB0,function
Yuyuko_handle_event_bridge,0x0057AB90,function
Komachi_handle_event_bridge,0x00601D20,function
Remilia_handle_event_bridge,0x0055D380,function
Youmu_handle_event_bridge,0x00544BF0,function
Udonge_handle_event_bridge,0x005E1C50,function
Suika_handle_event_bridge,0x005BF7D0,function
Aya_handle_event_bridge,0x006203B0,function
Tenshi_handle_event_bridge,0x00659420,function
Iku_handle_event_bridge,0x0063CCB0,function
try_dispatch_flagged_gate_actions_220_224,0x00493B40,function
set_target_24_enabled_2d,0x004272B0,function
set_target_28_enabled_2e,0x004272D0,function
synchronize_targets,0x004272F0,function
set_global_pair,0x00434E10,function
set_shared_second_target,0x00476AD0,function
character_key_to_name,0x0043BF80,function
has_ui_selection_state_changed,0x0043B6E0,function
set_ui_selection_state_tracking,0x0043FFB0,function
Menu_render_cursor,0x0043F9D0,function
is_menu_initial_press,0x0043ABD0,function
set_menu_input_state,0x0043ABF0,function
EventSubobject130_trigger_global_effect,0x00434E90,function
BattleAudioSetupView_set_stage_music_433860,0x00434DE0,function
EventEffectStateView_set_event_id,0x00469DF0,function
InfoEffectEmitter_emit_effect,0x0046E9D0,function
EventSubobject130_trigger_secondary_event_effect,0x00434E40,function
PairEmbeddedModeView_select_pair_mode_434780,0x00435CE0,function
Fighter_advance_secondary_event_effect_cycle,0x00473F90,function
CBattleManager_run_full_pipeline_471630,0x00471630,function
CBattleManager_constant_one_471920,0x00471920,function
CBattleManager_mark_terminal_pending_if_state_not_3_472490,0x00472490,function
CBattleManager_update_phase_object_if_needed_4724b0,0x004724B0,function
CBattleManager_run_pipeline_and_transition_472d80,0x00472D80,function
CBattleManager_run_reset_pipeline_472dc0,0x00472DC0,function
CBattleManager_run_120_frame_pipeline_472e10,0x00472E10,function
CBattleManager_run_180_frame_pipeline_472ea0,0x00472EA0,function
CBattleManager_run_info_phase_pipeline_472f10,0x00472F10,function
get_async_scene_load_request,0x0043AB90,function
start_scene_fade_out,0x0043B240,function
start_scene_fade_in,0x0043B280,function
is_scene_fade_in_progress,0x0043B2C0,function
fade_bgm,0x0043B140,function
CBattleManagerArcade_run_info_phase_pipeline_473870,0x00473870,function
stop_bgm,0x0043B120,function
set_bgm_volume,0x0043B170,function
CBattleManagerArcade_prepare_arcade_transition_473050,0x00473050,function
PostSequenceTransitionView_publish_transition_effect_46e040,0x0046EA10,function
InfoManagerResourceView_load_info_effect_resources_46e960,0x0046E960,function
InfoManagerResourceView_release_info_effect_resources_46e990,0x0046E990,function
PostSequenceTransitionView_publish_transition_effect_at_46e130,0x0046EB00,function
InfoManagerResourceView_initialize_story_info_resources_471e50,0x00471E50,function
InfoEffectManagerSpawnView_spawn_effect_46f460,0x0046F460,function
InfoEffectObjectManagerBase_ctor,0x0046EE40,function
