address,size,span_end,current_name,proposed_name,module,status,match_percent,calling_convention,signature,is_thunk,source_file,evidence,owner,notes
0x00407E80,233,0x00407F74,FUN_00407e80,,,unclassified,0.00,unknown,undefined FUN_00407e80(void),false,,,,
0x00407F80,148,0x00408013,FUN_00407f80,commit_pending_engine_scene,engine,identified,0.00,unknown,undefined FUN_00407f80(void),false,,docs/EVIDENCE.md scene transition instructions and runtime,,
0x00408020,177,0x004080D0,FUN_00408020,,,unclassified,0.00,unknown,undefined FUN_00408020(void),false,,,,
0x004080E0,753,0x004083E0,FUN_004080e0,engine_main_loop_poll_input_and_update_scene,engine,identified,0.00,unknown,undefined FUN_004080e0(void),false,,docs/EVIDENCE.md main loop trace,,
0x00408393,16,0x004083A2,Catch@00408393,,,unclassified,0.00,unknown,undefined Catch@00408393(void),false,,,,
0x004083F0,383,0x00408580,FUN_004083f0,,,unclassified,0.00,unknown,undefined FUN_004083f0(void),false,,,,
0x00408549,13,0x00408555,Catch@00408549,,,unclassified,0.00,unknown,undefined Catch@00408549(void),false,,,,
0x00408590,240,0x0040867F,FUN_00408590,,,unclassified,0.00,unknown,undefined FUN_00408590(void),false,,,,
0x00408680,126,0x004086FD,FUN_00408680,,,unclassified,0.00,unknown,undefined FUN_00408680(void),false,,,,
0x00408770,267,0x00408888,FUN_00408770,,,unclassified,0.00,unknown,undefined FUN_00408770(void),false,,,,
0x00408890,36,0x004088B6,FUN_00408890,,,unclassified,0.00,unknown,undefined FUN_00408890(void),false,,,,
0x004088C0,53,0x004088F4,FUN_004088c0,,,unclassified,0.00,unknown,undefined FUN_004088c0(void),false,,,,
0x00408900,49,0x0040893B,FUN_00408900,,,unclassified,0.00,unknown,undefined FUN_00408900(void),false,,,,
0x00408950,237,0x00408A3C,FUN_00408950,,,unclassified,0.00,unknown,undefined FUN_00408950(void),false,,,,
0x00408A40,251,0x00408B3A,FUN_00408a40,,,unclassified,0.00,unknown,undefined FUN_00408a40(void),false,,,,
0x00408B40,183,0x00408BF9,FUN_00408b40,,,unclassified,0.00,unknown,undefined FUN_00408b40(void),false,,,,
0x00408C00,162,0x00408CA4,FUN_00408c00,,,unclassified,0.00,unknown,undefined FUN_00408c00(void),false,,,,
0x00408CB0,140,0x00408D3B,FUN_00408cb0,,,unclassified,0.00,unknown,undefined FUN_00408cb0(void),false,,,,
0x00408D40,140,0x00408DCB,FUN_00408d40,,,unclassified,0.00,unknown,undefined FUN_00408d40(void),false,,,,
0x00408DD0,145,0x00408E60,FUN_00408dd0,,,unclassified,0.00,unknown,undefined FUN_00408dd0(void),false,,,,
0x00408E70,151,0x00408F06,FUN_00408e70,,,unclassified,0.00,unknown,undefined FUN_00408e70(void),false,,,,
0x00408F10,163,0x00408FB2,FUN_00408f10,,,unclassified,0.00,unknown,undefined FUN_00408f10(void),false,,,,
0x00408FC0,819,0x004092F2,FUN_00408fc0,,,unclassified,0.00,unknown,undefined FUN_00408fc0(void),false,,,,
0x00409300,262,0x00409405,FUN_00409300,,,unclassified,0.00,unknown,undefined FUN_00409300(void),false,,,,
0x00409410,37,0x00409434,FUN_00409410,,,unclassified,0.00,unknown,undefined FUN_00409410(void),false,,,,
0x00409440,266,0x00409549,FUN_00409440,,,unclassified,0.00,unknown,undefined FUN_00409440(void),false,,,,
0x00409550,756,0x00409843,FUN_00409550,,,unclassified,0.00,unknown,undefined FUN_00409550(void),false,,,,
0x00409850,60,0x0040988B,FUN_00409850,,,unclassified,0.00,unknown,undefined FUN_00409850(void),false,,,,
0x00409890,28,0x004098AE,FUN_00409890,,,unclassified,0.00,unknown,undefined FUN_00409890(void),false,,,,
0x004098B0,7,0x004098B6,FUN_004098b0,,,unclassified,0.00,unknown,undefined FUN_004098b0(void),false,,,,
0x004098C0,52,0x004098F3,FUN_004098c0,,,unclassified,0.00,unknown,undefined FUN_004098c0(void),false,,,,
0x00409900,404,0x00409A96,FUN_00409900,update_player_input_counters_from_raw,input,identified,0.00,unknown,undefined FUN_00409900(void),false,,docs/EVIDENCE.md input data flow and runtime counters,,
0x00409AA0,33,0x00409AC0,FUN_00409aa0,,,unclassified,0.00,unknown,undefined FUN_00409aa0(void),false,,,,
0x00409AD0,378,0x00409C49,FUN_00409ad0,build_player_logical_input_mask,input,identified,0.00,unknown,undefined FUN_00409ad0(void),false,,docs/EVIDENCE.md input data flow and runtime mask,,
0x00409C50,1003,0x0040A03A,FUN_00409c50,merge_menu_input_sources,input,identified,0.00,unknown,undefined FUN_00409c50(void),false,,docs/EVIDENCE.md menu input trace,,
0x0040A040,4,0x0040A043,FUN_0040a040,,,unclassified,0.00,unknown,undefined FUN_0040a040(void),false,,,,
0x0040A050,23,0x0040A066,FUN_0040a050,,,unclassified,0.00,unknown,undefined FUN_0040a050(void),false,,,,
0x0040A070,54,0x0040A0A5,FUN_0040a070,,,unclassified,0.00,unknown,undefined FUN_0040a070(void),false,,,,
0x0040A0B0,263,0x0040A1B9,FUN_0040a0b0,,,unclassified,0.00,unknown,undefined FUN_0040a0b0(void),false,,,,
0x0040A1C0,69,0x0040A204,FUN_0040a1c0,,,unclassified,0.00,unknown,undefined FUN_0040a1c0(void),false,,,,
